date,plan_id,published_at,bias,direction,priority,entry_low,entry_high,trigger_price,stop_loss,tp1,tp2,confirmation,cancel_condition,event_risk,result,triggered_at,exit_at,exit_price,pnl_r,notes,point_basis
2026-06-26,S1,2026-06-26T13:05:00+08:00,偏空,空,1,4018.0,4025.0,4018.0,4038.0,4005.0,3995.0,M1/M5 冲高回落、上影线或假突破后重新跌回 4018 下方。,M5 有效站稳 4028 上方，或美元/美债同步下行导致黄金持续拉升。,中,盈利,2026-06-26T10:48+08:00,2026-06-26T13:38+08:00,3995.0,0.9,TP2 完成,
2026-06-26,S2,2026-06-26T13:05:00+08:00,偏空,空,2,4028.0,4035.0,4028.0,4042.0,4005.0,3995.0,价格进入 4028-4035 后无法站稳，并且 M5 收回 4028 下方。,M5/M15 连续站稳 4035 上方，或上破 4051。,中,盈利,2026-06-26T09:00+08:00,2026-06-26T13:38+08:00,3995.0,2.0,TP2 完成,
2026-06-26,B1,2026-06-26T13:05:00+08:00,偏空,多,3,4028.0,4032.0,4032.0,4020.0,4038.0,4050.0,M5/M15 有效站稳 4028 上方，回踩 4028-4032 不破，并且美元/美债没有同步上行。,突破后快速跌回 4028 下方，或数据后美元/美债同步拉升。,中,亏损,2026-06-26T09:35+08:00,2026-06-26T10:48+08:00,4020.0,-1,先触及止损,
2026-06-26,B2,2026-06-26T13:05:00+08:00,偏空,空,4,3993.0,3997.0,3995.0,4004.0,3988.0,3975.0,M5 跌破 3995 后反抽不回 4000，且 DXY/10Y 没有明显回落。,跌破后迅速收回 4000 上方，或出现明显扫低反转。,中,盈利,2026-06-26T13:38+08:00,2026-06-26T14:06+08:00,3995.0,0.389,TP1 后剩余仓位保本,
2026-06-26,L1,2026-06-26T13:05:00+08:00,偏空,多,5,4000.0,4004.0,4000.0,3992.0,4015.0,4025.0,先扫破 3995/4000 后，M5 重新收回 4000 上方，且美元/美债没有同步拉升。,跌破 3992 或反抽无法重新站上 4000。,中,亏损,2026-06-26T13:37+08:00,2026-06-26T13:38+08:00,3992.0,-1,先触及止损,
2026-06-29,S1,2026-06-29T09:42:36+08:00,偏空,空,1,4074.0,4088.0,4074.0,4098.0,4056.0,4048.0,M1/M5 进入 4074-4088 后冲高回落，重新跌回 4074 下方，且 DXY/10Y 没有同步下行。,M5/M15 有效站稳 4088 上方，或上破 4096 后不再跌回。,低,盈利,2026-06-29T09:01+08:00,2026-06-29T11:59+08:00,4074.0,0.375,TP1 后剩余仓位保本,触发价取 M5 近 20 根高点 4074 附近；止损放在前日高点 4096 上方到 4098；TP1 看 VWAP/均衡区 4056，TP2 看 M15/M5 近端低点 4048。
2026-06-29,S2,2026-06-29T09:42:36+08:00,偏空,空,2,4096.0,4100.0,4096.0,4110.0,4074.0,4056.0,先上破 4096/4100 但 M5 收不住，随后跌回 4096 下方。,M15 连续站稳 4100 上方，且 H1 继续放量上行。,低,未触发,,,,,价格未进入触发价,4096 是前日高点，4100 是整数关口；触发取假突破后跌回 4096；止损放 4110 保留假破缓冲；TP1 回看 4074，TP2 回看 4056。
2026-06-29,B1,2026-06-29T09:42:36+08:00,偏空,多,3,4096.0,4102.0,4100.0,4088.0,4118.0,4138.0,M5/M15 站稳 4096/4100 后回踩不破，且美元/美债没有同步走强。,突破后快速跌回 4088 下方，或 DXY/10Y 同步上行。,低,未触发,,,,,价格未进入触发价,上破必须越过前日高点 4096 和 4100 整数关口；止损放 4088 下方，代表重新跌回 M15 压力带内；TP1 看 4118，TP2 看 H4 上方结构 4138。
2026-06-29,B2,2026-06-29T09:42:36+08:00,偏空,空,4,4044.0,4048.0,4048.0,4058.0,4034.0,4000.0,M5 有效跌破 4048 后，反抽不回 4056，并且 DXY/10Y 没有明显回落。,跌破后快速收回 4056 上方，或出现扫低反转。,低,亏损,2026-06-29T16:01+08:00,2026-06-29T17:01+08:00,4058.0,-1,先触及止损,4048 是 M15/M5 近端低点；跌破后若反抽不上 4056，说明均衡区转压力；止损放 4058；TP1 看 H4 VWAP 4034，TP2 看 4000 整数关口。
2026-06-29,L1,2026-06-29T09:42:36+08:00,偏空,多,5,4048.0,4052.0,4052.0,4040.0,4065.0,4074.0,先扫破 4048/4050 后，M5 重新收回 4052 上方，且美元/美债没有同步拉升。,跌破 4040 或反抽无法重新站上 4052。,低,盈利,2026-06-29T10:32+08:00,2026-06-29T11:23+08:00,4052.0,0.542,TP1 后剩余仓位保本,4048 是日内第一支撑，4052 是扫低收回后的确认位；止损放 4040 下方，代表扫低失败；TP1 看 4065 VWAP/均衡区，TP2 看 4074 M5 压力。
2026-06-30,S1,2026-06-30T09:20:25+08:00,偏空,空,1,3992.0,4004.0,3992.0,4024.0,3973.0,3959.0,M1/M5 反弹进入 3992-4004 后冲高回落，重新跌回 3992 下方，且 DXY/10Y 没有同步下行。,M5/M15 有效站稳 4004 上方，或数据前后价格快速拉回 4016 上方。,高,盈利,2026-06-30T11:42+08:00,2026-06-30T12:07+08:00,3959.0,0.812,TP2 完成,3992 是 M5 EMA/VWAP 回抽区，4004 是 M15 VWAP20；触发取跌回 3992，下方 TP1 看当前价附近 3973，TP2 看 3959 前低；止损放 4024，位于 M15 近端高点 4022 上方。
2026-06-30,S2,2026-06-30T09:20:25+08:00,偏空,空,2,4016.0,4022.0,4016.0,4036.0,3992.0,3973.0,价格先拉到 4016-4022，但 M5 收不住并跌回 4016 下方。,M15 连续站稳 4022 上方，且美元/美债没有同步走强。,高,盈利,2026-06-30T09:27+08:00,2026-06-30T12:06+08:00,3973.0,1.675,TP2 完成,4016 是昨日收盘，4022 是 M15 近端高点；假突破后跌回 4016 才触发；止损放 4036，TP1 回看 3992，TP2 回看 3973。
2026-06-30,B1,2026-06-30T09:20:25+08:00,偏空,多,3,4004.0,4016.0,4008.0,3988.0,4022.0,4036.0,M5/M15 站回 4004 上方后回踩不破，且 DXY/10Y 没有同步上行。,突破后快速跌回 3992 下方，或 21:45-22:20 数据窗口内波动失真。,高,亏损,2026-06-30T11:03+08:00,2026-06-30T11:55+08:00,3988.0,-1,先触及止损,4004 是 M15 VWAP20，4016 是昨日收盘；重新收复后说明短线空头减弱；止损放 3988 下方，TP1 看 4022，TP2 看 4036。
2026-06-30,B2,2026-06-30T09:20:25+08:00,偏空,空,4,3956.0,3962.0,3959.0,3977.0,3943.0,3925.0,M5 有效跌破 3959 后，反抽不回 3973，且 DXY/10Y 没有明显回落。,跌破后快速收回 3973 上方，或出现明显扫低反转。,高,盈利,2026-06-30T12:07+08:00,2026-06-30T12:08+08:00,3959.0,0.444,TP1 后剩余仓位保本,3959 是 D1 近端低位和下破确认；跌破后若反抽不上 3973，说明当前价转压力；止损放 3977，TP1 看 3943，TP2 看 3925 扩展目标。
2026-06-30,L1,2026-06-30T09:20:25+08:00,偏空,多,5,3960.0,3966.0,3966.0,3938.0,3992.0,4004.0,先跌破 3959 或刺穿 3943 后，M5 重新收回 3966 上方，且美元/美债没有同步拉升。,跌破 3938 或反抽无法重新站上 3966。,高,盈利,2026-06-30T12:06+08:00,2026-06-30T17:27+08:00,4004.0,1.143,TP2 完成,先扫 3959/3943 后重新收回 3966 才算短多触发；止损放 3938 下方；TP1 看 3992，TP2 看 4004，不做趋势多。
2026-07-01,S1,2026-07-01T10:20:07.018274+08:00,偏空,空,1,3977.14,3983.74,3977.14,3986.74,3968.14,3960.94,M5 反弹失败并重新跌回触发价下方。,M5 有效站回止损区上方，或美元/美债同步下行导致黄金强反弹。,中,亏损,2026-07-01T12:17+08:00,2026-07-01T12:30+08:00,3986.74,-1,先触及止损,ATR 给止损和目标缓冲；触发价取 M15 VWAP/枢轴下方确认；止损放反弹区上沿外；TP 参考日内支撑和 ATR 扩展。
2026-07-01,B2,2026-07-01T10:20:07.018274+08:00,偏空,多,2,4066.1,4069.1,4069.1,4059.5,4078.1,4085.3,M5/M15 收在突破触发价上方，回踩不跌回压力带。,突破后快速跌回压力带内，视为假突破取消。,中,盈利,2026-07-02T00:39+08:00,2026-07-02T00:43+08:00,4085.3,1.313,TP2 完成,触发价来自 H1/M15 20 根高点和前日 R1 上方；止损回到压力带下方；TP 用 ATR 上扩。
2026-07-01,S2,2026-07-01T10:20:07.018274+08:00,偏空,空,3,3942.49,3945.49,3942.49,3952.09,3933.49,3926.29,M5/M15 收在破位触发价下方，反抽不收回支撑带。,破位后快速收回支撑带内，视为假破位取消。,中,未触发,,,,,价格未进入触发价,触发价来自 H1/M15 20 根低点和前日 S1 下方；止损回到支撑带上方；TP 用 ATR 下扩。
2026-07-02,B1,2026-07-02T09:47:42.166165+08:00,偏多,多,1,4049.11,4056.88,4056.88,4045.57,4067.49,4075.97,M5 收回触发价上方，且回踩不跌破入场区下沿。,M5 有效跌破入场区下沿，或数据/美债美元同步压制黄金。,高,亏损,2026-07-02T06:24+08:00,2026-07-02T06:52+08:00,4045.57,-1,先触及止损,ATR 给止损和目标缓冲；触发价取 M15 VWAP/枢轴上方确认；止损放回踩区下沿外；TP 参考日内阻力和 ATR 扩展。
2026-07-02,B2,2026-07-02T09:47:42.166165+08:00,偏多,多,2,4115.63,4119.16,4119.16,4107.85,4129.77,4138.25,M5/M15 收在突破触发价上方，回踩不跌回压力带。,突破后快速跌回压力带内，视为假突破取消。,高,亏损,2026-07-02T23:30+08:00,2026-07-02T23:30+08:00,4107.85,-1,先触及止损,触发价来自 H1/M15 20 根高点和前日 R1 上方；止损回到压力带下方；TP 用 ATR 上扩。
2026-07-02,S2,2026-07-02T09:47:42.166165+08:00,偏多,空,3,3952.32,3955.85,3952.32,3963.63,3941.71,3933.23,M5/M15 收在破位触发价下方，反抽不收回支撑带。,破位后快速收回支撑带内，视为假破位取消。,高,未触发,,,,,价格未进入触发价,触发价来自 H1/M15 20 根低点和前日 S1 下方；止损回到支撑带上方；TP 用 ATR 下扩。
2026-07-03,B1,2026-07-03T10:50:02.618005+08:00,偏多,多,1,4176.27,4182.85,4182.85,4173.28,4191.83,4199.01,M5 收回触发价上方，且回踩不跌破入场区下沿。,M5 有效跌破入场区下沿，或数据/美债美元同步压制黄金。,高,,,,,,均线/VWAP 上方偏多，等待回踩后重新站上触发价，不追高。,ATR 给止损和目标缓冲；触发价取 M15 VWAP/枢轴上方确认；止损放回踩区下沿外；TP 参考日内阻力和 ATR 扩展。
2026-07-03,B2,2026-07-03T10:50:02.618005+08:00,偏多,多,2,4195.44,4198.43,4198.43,4188.86,4207.41,4214.59,M5/M15 收在突破触发价上方，回踩不跌回压力带。,突破后快速跌回压力带内，视为假突破取消。,高,,,,,,向上突破方案：只有放量站稳日内压力后才做突破多。,触发价来自 H1/M15 20 根高点和前日 R1 上方；止损回到压力带下方；TP 用 ATR 上扩。
2026-07-03,S2,2026-07-03T10:50:02.618005+08:00,偏多,空,3,4050.26,4053.25,4050.26,4059.83,4041.28,4034.1,M5/M15 收在破位触发价下方，反抽不收回支撑带。,破位后快速收回支撑带内，视为假破位取消。,高,,,,,,向下破位方案：只有跌破日内支撑后才顺势做空。,触发价来自 H1/M15 20 根低点和前日 S1 下方；止损回到支撑带上方；TP 用 ATR 下扩。
